,Unnamed: 0,date,Poverty Gap,Region,GDP per capita,Primary Completion Rate
0,2,2019,12.6,Sub-Saharan Africa,N/A,N/A
1,3,2018,12.8,Sub-Saharan Africa,N/A,N/A
2,4,2017,13.2,Sub-Saharan Africa,N/A,N/A
3,5,2016,13.5,Sub-Saharan Africa,N/A,N/A
4,6,2015,13.7,Sub-Saharan Africa,N/A,N/A
5,7,2014,13.7,Sub-Saharan Africa,N/A,N/A
6,8,2013,14.3,Sub-Saharan Africa,N/A,N/A
7,9,2012,14.8,Sub-Saharan Africa,N/A,N/A
8,10,2011,15.1,Sub-Saharan Africa,N/A,N/A
9,11,2010,15.9,Sub-Saharan Africa,N/A,N/A
10,12,2009,17.0,Sub-Saharan Africa,N/A,N/A
11,13,2008,17.2,Sub-Saharan Africa,N/A,N/A
12,14,2007,18.3,Sub-Saharan Africa,N/A,N/A
13,15,2006,19.2,Sub-Saharan Africa,N/A,N/A
14,16,2005,20.1,Sub-Saharan Africa,N/A,N/A
15,17,2004,21.2,Sub-Saharan Africa,N/A,N/A
16,18,2003,22.7,Sub-Saharan Africa,N/A,N/A
17,19,2002,23.6,Sub-Saharan Africa,N/A,N/A
18,20,2001,24.6,Sub-Saharan Africa,N/A,N/A
19,21,2000,25.2,Sub-Saharan Africa,N/A,N/A
20,22,1999,25.3,Sub-Saharan Africa,N/A,N/A
21,23,1998,25.5,Sub-Saharan Africa,N/A,N/A
22,24,1997,25.8,Sub-Saharan Africa,N/A,N/A
23,25,1996,26.0,Sub-Saharan Africa,N/A,N/A
24,26,1995,26.8,Sub-Saharan Africa,N/A,N/A
25,27,1994,27.2,Sub-Saharan Africa,N/A,N/A
26,28,1993,26.6,Sub-Saharan Africa,N/A,N/A
27,29,1992,25.9,Sub-Saharan Africa,N/A,N/A
28,30,1991,24.9,Sub-Saharan Africa,N/A,N/A
29,31,1990,23.7,Sub-Saharan Africa,N/A,N/A
30,52,2019,1.5,Latin America & Caribbean,N/A,N/A
31,53,2018,1.5,Latin America & Caribbean,N/A,N/A
32,54,2017,1.5,Latin America & Caribbean,N/A,N/A
33,55,2016,1.5,Latin America & Caribbean,N/A,N/A
34,56,2015,1.4,Latin America & Caribbean,N/A,N/A
35,57,2014,1.5,Latin America & Caribbean,N/A,N/A
36,58,2013,1.6,Latin America & Caribbean,N/A,N/A
37,59,2012,1.9,Latin America & Caribbean,N/A,N/A
38,60,2011,2.4,Latin America & Caribbean,N/A,N/A
