Entity,Code,Year,Geo Biomass Other - TWh (zero filled),Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled)
Africa,,1965,0,0,0,0,41.11881256,0,9.543754578,323.4961243,341.2627563
Africa,,1966,0,0,0,0,45.86291504,0,10.66991615,323.1221924,369.4865723
Africa,,1967,0,0,0,0,47.87553787,0,10.54566956,330.2915649,368.1252441
Africa,,1968,0,0,0,0,56.00046921,0,10.68896961,343.5129089,389.1998596
Africa,,1969,0,0,0,0,65.35208893,0,12.49199963,346.6429443,396.9228516
Africa,,1970,0,0,0,0,81.70288086,0,15.52032471,360.756897,433.7723083
Africa,,1971,0.164000005,0,0,0,76.92131805,0,18.4052639,383.0123291,473.5654297
Africa,,1972,0.165000007,0,0,0,87.62504578,0,24.6706562,384.2108154,510.6726379
Africa,,1973,0.170000002,0,0,0,92.68891907,0,39.55179214,408.9103394,549.7197876
Africa,,1974,0.174999997,0,0,0,105.4671555,0,44.51848602,425.6462097,567.7996826
Africa,,1975,0.172000006,0,0,0,111.5316315,0,53.63837814,451.0805054,596.4046631
Africa,,1976,0.185000002,0,0,0,123.5951538,0,60.98139191,481.0741577,652.5804443
Africa,,1977,0.188999996,0,0,0,135.8108673,0,68.23419189,491.6984558,695.1663208
Africa,,1978,0.194999993,0,0,0,136.9291229,0,97.36990356,477.8155823,732.1810303
Africa,,1979,0.201000005,0,0,0,146.563858,0,148.8428192,507.2469788,770.9386597
Africa,,1980,0.207000002,0,0,0,142.8574219,0,186.9139709,543.5570679,817.2388916
Africa,,1981,0.217999995,0,0,0,148.4198914,0,228.4911652,635.7987671,883.8618774
Africa,,1982,0.236000001,0,0,0,148.4593048,0,246.733551,701.1759033,925.2272339
Africa,,1983,0.230000004,0,0,0,133.7953644,0,271.2753296,713.2460327,964.5521851
Africa,,1984,0.233999997,0,0,0,131.556366,11.13724613,259.902771,762.8978271,981.7520752
Africa,,1985,0.268999994,0,0,0,146.2221832,15.08139229,278.8427429,787.1658936,1007.091858
Africa,,1986,0.658999979,0,0,0,151.2363129,24.97864342,313.2712097,805.3560791,988.5931396
Africa,,1987,0.657999992,0,0,0,145.0594177,17.49895477,323.3843689,828.3197021,1042.068604
Africa,,1988,0.625999987,0,0,0,158.4752808,29.77404404,358.4445496,890.1607666,1086.268188
Africa,,1989,0.616999984,0,0,0,166.4081573,31.49357796,371.4710388,835.6208496,1123.926514
Africa,,1990,0.796000004,0,0,0,169.3014069,23.97416306,398.6453857,877.6782837,1142.402832
Africa,,1991,0.811999977,0,0,0,179.3458099,25.94623756,401.6355896,853.762146,1148.7052
Africa,,1992,0.84224999,0,0,0,171.0922546,26.35483932,421.2702637,858.8311768,1170.524658
Africa,,1993,0.937699974,0,0,0.005916667,167.6095581,20.5861702,412.6439819,871.7139282,1180.07666
Africa,,1994,0.834999979,0,0,0.015972223,170.3108978,27.51538277,431.8279419,894.4478149,1221.884644
Africa,,1995,1.018700004,0,0,0.018638888,176.7359161,32.06675339,461.2434998,922.4712524,1266.781738
Africa,,1996,1.258092999,0,0,0.021,184.269104,33.41173935,484.1917725,935.2282104,1293.971191
Africa,,1997,1.386640429,0,0,0.021277778,188.8111572,35.88605118,474.4755249,959.019104,1332.273071
Africa,,1998,1.71254921,0,0,0.022472221,197.0977936,38.59304047,499.3369751,937.0389404,1363.508667
Africa,,1999,1.696124792,0,0,0.058539443,209.0126038,36.42517853,504.0196228,966.0106812,1414.560181
