,Year,Energy Source,Cost
0,1983,Onshore wind levelized cost of energy,0.32785082
1,1984,Onshore wind levelized cost of energy,0.32007387
2,1985,Onshore wind levelized cost of energy,0.2972214
3,1986,Onshore wind levelized cost of energy,0.2641942
4,1987,Onshore wind levelized cost of energy,0.2564197
5,1988,Onshore wind levelized cost of energy,0.21215738
6,1989,Onshore wind levelized cost of energy,0.19643468
7,1990,Onshore wind levelized cost of energy,0.2086876
8,1991,Onshore wind levelized cost of energy,0.20031708
9,1992,Onshore wind levelized cost of energy,0.20065267
10,1993,Onshore wind levelized cost of energy,0.21116926
11,1994,Onshore wind levelized cost of energy,0.1982574
12,1995,Onshore wind levelized cost of energy,0.20773248
13,1996,Onshore wind levelized cost of energy,0.18573205
14,1997,Onshore wind levelized cost of energy,0.16313075
15,1998,Onshore wind levelized cost of energy,0.15288077
16,1999,Onshore wind levelized cost of energy,0.15087588
17,2000,Offshore wind levelized cost of energy,0.1707826
18,2000,Onshore wind levelized cost of energy,0.16236141
19,2001,Offshore wind levelized cost of energy,0.16112547
20,2001,Onshore wind levelized cost of energy,0.14201893
21,2002,Offshore wind levelized cost of energy,0.13536467
22,2002,Onshore wind levelized cost of energy,0.13127674
23,2003,Offshore wind levelized cost of energy,0.12575519
24,2003,Onshore wind levelized cost of energy,0.11504814
25,2004,Offshore wind levelized cost of energy,0.17802335
26,2004,Onshore wind levelized cost of energy,0.116608016
27,2005,Offshore wind levelized cost of energy,0.15135488
28,2005,Onshore wind levelized cost of energy,0.10943693
29,2006,Offshore wind levelized cost of energy,0.14865257
30,2006,Onshore wind levelized cost of energy,0.11239332
31,2007,Geothermal levelized cost of energy,0.05007819
32,2007,Offshore wind levelized cost of energy,0.21350704
33,2007,Onshore wind levelized cost of energy,0.10228007
34,2008,Geothermal levelized cost of energy,0.055424795
35,2008,Offshore wind levelized cost of energy,0.21072298
36,2008,Onshore wind levelized cost of energy,0.10760544
37,2009,Geothermal levelized cost of energy,0.09531676
38,2009,Offshore wind levelized cost of energy,0.19494483
39,2009,Onshore wind levelized cost of energy,0.1053068
40,2010,Bioenergy levelized cost of energy,0.07818927
41,2010,Geothermal levelized cost of energy,0.05044529
42,2010,Offshore wind levelized cost of energy,0.18785676
43,2010,Solar photovoltaic levelized cost of energy,0.41714868
44,2010,Concentrated solar power levelized cost of energy,0.3580038
45,2010,Hydropower levelized cost of energy,0.038882706
46,2010,Onshore wind levelized cost of energy,0.102061465
47,2011,Bioenergy levelized cost of energy,0.056684334
48,2011,Offshore wind levelized cost of energy,0.19754878
49,2011,Solar photovoltaic levelized cost of energy,0.31129825
50,2011,Concentrated solar power levelized cost of energy,0.34665465
51,2011,Hydropower levelized cost of energy,0.03656066
52,2011,Onshore wind levelized cost of energy,0.09648669
53,2012,Bioenergy levelized cost of energy,0.06187914
54,2012,Geothermal levelized cost of energy,0.08569454
55,2012,Offshore wind levelized cost of energy,0.16660058
56,2012,Solar photovoltaic levelized cost of energy,0.23263325
57,2012,Concentrated solar power levelized cost of energy,0.3375742
58,2012,Hydropower levelized cost of energy,0.038037654
59,2012,Onshore wind levelized cost of energy,0.08839028
60,2013,Bioenergy levelized cost of energy,0.08219819
