,Date,Year,Energy Source,Energy Consumption
0,1965,,Geo Biomass Other,0.0
1,1965,,Biofuels Consumption - TWh -,0.0
2,1965,,Solar Consumption,0.0
3,1965,,Wind Consumption,0.0
4,1965,,Hydro Consumption,41.11881256
5,1965,,Nuclear Consumption,0.0
6,1965,,Gas Consumption,9.543754578
7,1965,,Coal Consumption,323.4961243
8,1965,,Oil Consumption,341.2627563
9,1966,,Geo Biomass Other,0.0
10,1966,,Biofuels Consumption - TWh -,0.0
11,1966,,Solar Consumption,0.0
12,1966,,Wind Consumption,0.0
13,1966,,Hydro Consumption,45.86291504
14,1966,,Nuclear Consumption,0.0
15,1966,,Gas Consumption,10.66991615
16,1966,,Coal Consumption,323.1221924
17,1966,,Oil Consumption,369.4865723
18,1967,,Geo Biomass Other,0.0
19,1967,,Biofuels Consumption - TWh -,0.0
20,1967,,Solar Consumption,0.0
21,1967,,Wind Consumption,0.0
22,1967,,Hydro Consumption,47.87553787
23,1967,,Nuclear Consumption,0.0
24,1967,,Gas Consumption,10.54566956
25,1967,,Coal Consumption,330.2915649
26,1967,,Oil Consumption,368.1252441
27,1968,,Geo Biomass Other,0.0
28,1968,,Biofuels Consumption - TWh -,0.0
29,1968,,Solar Consumption,0.0
30,1968,,Wind Consumption,0.0
31,1968,,Hydro Consumption,56.00046921
32,1968,,Nuclear Consumption,0.0
33,1968,,Gas Consumption,10.68896961
34,1968,,Coal Consumption,343.5129089
35,1968,,Oil Consumption,389.1998596
36,1969,,Geo Biomass Other,0.0
37,1969,,Biofuels Consumption - TWh -,0.0
38,1969,,Solar Consumption,0.0
39,1969,,Wind Consumption,0.0
40,1969,,Hydro Consumption,65.35208893
41,1969,,Nuclear Consumption,0.0
42,1969,,Gas Consumption,12.49199963
43,1969,,Coal Consumption,346.6429443
44,1969,,Oil Consumption,396.9228516
45,1970,,Geo Biomass Other,0.0
46,1970,,Biofuels Consumption - TWh -,0.0
47,1970,,Solar Consumption,0.0
48,1970,,Wind Consumption,0.0
49,1970,,Hydro Consumption,81.70288086
50,1970,,Nuclear Consumption,0.0
51,1970,,Gas Consumption,15.52032471
52,1970,,Coal Consumption,360.756897
53,1970,,Oil Consumption,433.7723083
54,1971,,Geo Biomass Other,0.164000005
55,1971,,Biofuels Consumption - TWh -,0.0
56,1971,,Solar Consumption,0.0
57,1971,,Wind Consumption,0.0
58,1971,,Hydro Consumption,76.92131805
59,1971,,Nuclear Consumption,0.0
60,1971,,Gas Consumption,18.4052639
61,1971,,Coal Consumption,383.0123291
62,1971,,Oil Consumption,473.5654297
63,1972,,Geo Biomass Other,0.165000007
64,1972,,Biofuels Consumption - TWh -,0.0
65,1972,,Solar Consumption,0.0
66,1972,,Wind Consumption,0.0
67,1972,,Hydro Consumption,87.62504578
68,1972,,Nuclear Consumption,0.0
69,1972,,Gas Consumption,24.6706562
70,1972,,Coal Consumption,384.2108154
71,1972,,Oil Consumption,510.6726379
72,1973,,Geo Biomass Other,0.170000002
73,1973,,Biofuels Consumption - TWh -,0.0
74,1973,,Solar Consumption,0.0
75,1973,,Wind Consumption,0.0
76,1973,,Hydro Consumption,92.68891907
77,1973,,Nuclear Consumption,0.0
78,1973,,Gas Consumption,39.55179214
79,1973,,Coal Consumption,408.9103394
80,1973,,Oil Consumption,549.7197876
81,1974,,Geo Biomass Other,0.174999997
82,1974,,Biofuels Consumption - TWh -,0.0
83,1974,,Solar Consumption,0.0
84,1974,,Wind Consumption,0.0
85,1974,,Hydro Consumption,105.4671555
86,1974,,Nuclear Consumption,0.0
87,1974,,Gas Consumption,44.51848602
88,1974,,Coal Consumption,425.6462097
89,1974,,Oil Consumption,567.7996826
90,1975,,Geo Biomass Other,0.172000006
91,1975,,Biofuels Consumption - TWh -,0.0
92,1975,,Solar Consumption,0.0
93,1975,,Wind Consumption,0.0
94,1975,,Hydro Consumption,111.5316315
95,1975,,Nuclear Consumption,0.0
96,1975,,Gas Consumption,53.63837814
97,1975,,Coal Consumption,451.0805054
98,1975,,Oil Consumption,596.4046631
99,1976,,Geo Biomass Other,0.185000002
100,1976,,Biofuels Consumption - TWh -,0.0
101,1976,,Solar Consumption,0.0
102,1976,,Wind Consumption,0.0
103,1976,,Hydro Consumption,123.5951538
104,1976,,Nuclear Consumption,0.0
105,1976,,Gas Consumption,60.98139191
106,1976,,Coal Consumption,481.0741577
107,1976,,Oil Consumption,652.5804443
108,1977,,Geo Biomass Other,0.188999996
109,1977,,Biofuels Consumption - TWh -,0.0
110,1977,,Solar Consumption,0.0
111,1977,,Wind Consumption,0.0
112,1977,,Hydro Consumption,135.8108673
113,1977,,Nuclear Consumption,0.0
114,1977,,Gas Consumption,68.23419189
115,1977,,Coal Consumption,491.6984558
116,1977,,Oil Consumption,695.1663208
117,1978,,Geo Biomass Other,0.194999993
118,1978,,Biofuels Consumption - TWh -,0.0
119,1978,,Solar Consumption,0.0
120,1978,,Wind Consumption,0.0
121,1978,,Hydro Consumption,136.9291229
122,1978,,Nuclear Consumption,0.0
123,1978,,Gas Consumption,97.36990356
124,1978,,Coal Consumption,477.8155823
125,1978,,Oil Consumption,732.1810303
126,1979,,Geo Biomass Other,0.201000005
127,1979,,Biofuels Consumption - TWh -,0.0
128,1979,,Solar Consumption,0.0
129,1979,,Wind Consumption,0.0
130,1979,,Hydro Consumption,146.563858
131,1979,,Nuclear Consumption,0.0
132,1979,,Gas Consumption,148.8428192
133,1979,,Coal Consumption,507.2469788
134,1979,,Oil Consumption,770.9386597
135,1980,,Geo Biomass Other,0.207000002
136,1980,,Biofuels Consumption - TWh -,0.0
137,1980,,Solar Consumption,0.0
138,1980,,Wind Consumption,0.0
139,1980,,Hydro Consumption,142.8574219
140,1980,,Nuclear Consumption,0.0
141,1980,,Gas Consumption,186.9139709
142,1980,,Coal Consumption,543.5570679
143,1980,,Oil Consumption,817.2388916
144,1981,,Geo Biomass Other,0.217999995
145,1981,,Biofuels Consumption - TWh -,0.0
146,1981,,Solar Consumption,0.0
147,1981,,Wind Consumption,0.0
148,1981,,Hydro Consumption,148.4198914
149,1981,,Nuclear Consumption,0.0
150,1981,,Gas Consumption,228.4911652
151,1981,,Coal Consumption,635.7987671
152,1981,,Oil Consumption,883.8618774
153,1982,,Geo Biomass Other,0.236000001
154,1982,,Biofuels Consumption - TWh -,0.0
155,1982,,Solar Consumption,0.0
156,1982,,Wind Consumption,0.0
157,1982,,Hydro Consumption,148.4593048
158,1982,,Nuclear Consumption,0.0
159,1982,,Gas Consumption,246.733551
160,1982,,Coal Consumption,701.1759033
