Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32589.01857,33838.70277,33930.11931,34272.61213,35048.90963,34322.30352,33524.36286,34946.46057,34895.27086,34641.05634,36517.65301,37220.04095,36048.61091,35692.177,37620.85005,36994.9796,37118.70886,38118.46564,38765.25913,34205.71544,33201.3048,34189.64469,33665.75776,35622.01737,35405.03413,36461.84656,37046.87741,38893.96056,39206.35615,38221.11731,29563.75695,
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083.9768,2998.435307,2858.935715,2768.082812,2741.742703,2788.86851,2864.243325,2910.470139,2888.955036,2892.680734,2915.472987,2946.073437,2983.610341,3003.012094,3093.224738,3203.70607,3329.894979,3463.646584,3528.070478,3461.681409,3545.205203,3589.316287,3576.560302,3626.792156,3677.319414,3694.915103,3691.284532,3694.912741,3697.317275,3684.315172,3491.978104,3556.353833
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.784668,1235.810063,1200.278013,1286.793659,1315.789117,1460.825751,1484.114461,1758.904477,1957.02907,1904.559926,2075.491614,2116.465258,2102.384604,2068.265904,2057.067978,2058.400221,2033.804389,2065.036235,1970.560169,
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810.341129,2770.672791,2764.956399,2664.878345,2593.404383,2579.822162,2630.29647,2672.029674,2694.491443,2667.1577,2690.555839,2756.601766,2935.488036,3014.538596,3165.091102,3258.736505,3341.068387,3426.184537,3540.921915,3652.11403,3794.17949,3872.809121,3966.071234,4092.76863,4215.646,4216.409204,4121.24912,4115.64548,4132.592996,4159.84465,4021.293919,4073.357927
Angola,AGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5758.950488,5625.868744,5126.464246,3772.474231,3701.631031,4122.11924,4532.384971,4708.144428,4772.398548,4720.60378,4707.954625,4746.660523,5218.657049,5196.128687,5569.434111,6183.84461,6652.861593,7310.831701,7831.40451,7611.548869,7693.745221,7676.607496,8037.746474,8141.241123,8240.347981,8036.631076,7569.209398,7310.896551,6982.12942,6712.021615,6141.963839,5990.416805
Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827.034551,3496.374584,3264.825387,3598.815371,3921.620532,4471.608044,4908.939354,4400.318994,4819.074667,5474.857679,5892.590548,6441.449833,6753.890769,7154.005545,7580.138864,8040.092779,8568.561885,9150.129797,9912.162528,10313.91634,10749.48167,11052.79361,11227.96633,11361.2686,11586.83388,11878.45445,12291.85949,12770.96429,13317.09231,13653.20157,13253.73334,14520.11103
Andorra,AND,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9711.847989,9699.828388,9983.662168,9977.085824,10004.60275,9966.185322,10189.6982,10403.11811,10709.18685,10687.29967,11129.83204,11082.31734,10908.64766,11200.02018,11886.27952,12253.05994,12660.59523,12919.66708,13312.6264,13058.23324,13339.56514,13454.11943,13901.21047,13956.9482,13994.61868,14235.05229,14428.63465,14378.78846,14475.80196,14445.15186,13528.33597,13767.68059
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111454.0557,106103.5527,103470.9246,98978.47461,100213.1562,101570.9921,102211.6388,105108.9963,100100.4357,97698.5374,102494.7146,98621.53639,95909.14536,97795.0272,97757.85515,90894.89881,86425.89722,76620.31507,68798.41826,58374.61534,54921.79725,56122.57668,57389.31879,59920.15231,62452.18451,65267.41513,66510.89367,67183.60531,66968.22118,68263.67553,63299.42297,
Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14144.76367,15221.79215,16209.32598,17312.03457,18092.02081,17362.5218,18104.69781,19347.53704,19866.24505,18981.16838,18625.28355,17610.75539,15523.03878,16714.67013,18032.61143,19426.44014,20777.65271,22424.11773,23103.45652,21519.89362,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22747.24166,22066.10101,19690.66146,21506.91933
Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180.061202,4616.944854,2735.786539,2554.172167,2757.23181,3008.233321,3234.069621,3378.944431,3654.052968,3798.67375,4048.249904,4464.385831,5081.518558,5823.716093,6472.141999,7419.87119,8464.485726,9708.415397,10467.52981,9052.383549,9286.197327,9725.27823,10397.65466,10691.27675,11019.83878,11321.33254,11303.06785,12115.13929,12715.10895,13653.76338,12619.89215,13317.23161
American Samoa,ASM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15458.69324,15588.26099,15500.72853,15992.15491,16698.40214,15628.32365,16303.42522,16828.3479,17260.56514,17551.73478,18313.62935,17207.91397,17143.5878,17953.05328,18743.57306,19683.84165,21849.22176,23511.06666,23131.93087,20048.02213,18206.01653,17605.43897,17966.3387,17643.13027,18104.68379,18594.54556,19419.63265,19840.28404,21017.2645,21850.13341,17293.30231,18057.29129
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31016.41533,30502.60587,30259.41807,31173.47373,32073.02667,32902.76973,33724.97201,34653.19125,35876.22337,37219.64111,38217.44944,38474.15333,39533.22346,40262.91406,41472.53879,42222.27272,42738.46579,44072.88403,44743.65989,44649.16077,44914.98121,45389.17017,46350.91995,46744.63254,47232.87539,47569.2946,48116.03108,48398.5497,49029.10571,49309.1124,48678.68244,49308.51379
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37494.56041,38399.67402,38774.49026,38658.64978,39435.21002,40425.39372,41319.375,42136.66228,43597.89007,45060.61875,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55258.37103,55833.5599,51857.69232,53944.52558
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7616.910275,7463.62886,5690.180918,4309.921462,3414.511205,2976.995221,2985.337175,3128.164135,3408.475381,3628.716883,3998.520483,4360.459441,4736.564376,5180.686458,5610.763137,7106.597907,9453.94186,11684.19154,12672.37622,13565.85509,14082.23815,13913.83669,14027.46879,14651.69397,14867.94373,14852.61171,14232.19262,14121.40694,14209.59317,14442.04087,13726.76966,14421.04628
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.842032,1215.887215,1202.106321,1105.228711,1044.716092,947.8222312,861.4828989,839.1968646,870.0438205,850.0469507,828.000479,826.0289602,839.7779197,804.8842323,817.4611773,798.7048453,815.0536475,815.9082129,827.7923336,831.5648435,846.1691119,852.5025761,862.7156512,877.2728572,886.2352958,825.2055739,794.6043404,773.5728587,761.5241428,751.4434047,731.0640736,722.0462735
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35506.92651,36023.68428,36426.99315,35935.95739,36981.44895,37784.14989,38208.71867,39562.37298,40252.46891,41583.09739,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51139.06761,51937.42361,48752.50159,51601.88777
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.208576,2191.840607,2179.50723,2227.3532,2195.822052,2253.119526,2277.761816,2336.545872,2358.280127,2411.991564,2478.218238,2532.634052,2570.787304,2579.697807,2614.212455,2581.642252,2606.817449,2685.130261,2738.194385,2724.084767,2704.705484,2707.8697,2759.848256,2876.903909,2975.854782,2945.970221,2961.440416,3044.517156,3160.78067,3287.309538,3323.144451,3449.199483
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.540051,1080.515211,1054.253612,1061.586864,1046.609681,1076.468663,1162.451422,1201.950978,1254.137139,1309.40259,1296.74796,1343.543543,1362.280175,1426.616712,1447.503656,1527.022159,1574.730122,1590.83027,1632.948589,1631.193828,1716.358323,1775.779179,1834.543308,1883.79654,1907.949213,1925.332075,1981.429814,2044.386987,2117.813901,2175.50468,2155.76936,2240.992193
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.048086,1816.935068,1873.51834,1919.71148,1952.1626,2008.799606,2055.396427,2102.807779,2166.200767,2221.963287,2294.343663,2365.785074,2412.163803,2483.126046,2571.360421,2699.050081,2840.60287,3004.034321,3148.413504,3270.524743,3414.13227,3593.495319,3783.923991,3965.370566,4157.919304,4381.069268,4641.597363,4894.563365,5197.765051,5550.032778,5684.113533,6019.518752
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12507.71359,11565.37384,10840.07873,10765.15063,10998.14712,11362.64635,12015.92681,10382.85145,10848.42118,9993.449174,10503.62031,11124.50607,12036.18332,12767.2686,13701.50142,14779.19305,15904.90196,17078.3683,18250.54052,17767.51424,18160.60824,18661.47996,18911.58431,18911.12601,19202.80893,19988.22449,20740.79485,21469.94544,22206.09078,23265.87692,22379.09431,23431.96761
