,Region,Year,Technology,Amount (2020 USD million)
200,Africa,2013,Multiple renewables,0.928327085
201,Africa,2014,Multiple renewables,0.010874286
202,Africa,2014,Multiple renewables,0.892163866
203,Africa,2015,Multiple renewables,0.64557648
204,Africa,2015,Multiple renewables,0.005272976
205,Africa,2015,Multiple renewables,0.019145354
206,Africa,2016,Multiple renewables,0.012981286
207,Africa,2017,Multiple renewables,0.006625462
208,Africa,2018,Multiple renewables,0.012775771
209,Africa,2020,Multiple renewables,0.000801159
210,Africa,2019,Multiple renewables,0.016066
211,Africa,2019,Solar energy,0.015672
212,Africa,2019,Solar energy,0.015672
213,Africa,2019,Solar energy,0.001791
214,Africa,2013,Solar energy,0.014548172
215,Africa,2014,Solar energy,0.021579599
216,Africa,2001,Solar energy,0.446067932
217,Africa,2001,Solar energy,0.364138089
218,Africa,2019,Solar energy,0.006037
219,Africa,2003,Solar energy,0.005439361
220,Africa,2003,Solar energy,0.084007897
221,Africa,2009,Solar energy,0.964389462
222,Africa,2010,Multiple renewables,0.092583521
223,Africa,2012,Multiple renewables,0.771358055
224,Africa,2009,Multiple renewables,0.010582037
225,Africa,2010,Multiple renewables,0.041358841
226,Africa,2012,Multiple renewables,0.016907413
227,Africa,2006,Nuclear,0.008559328
228,Africa,2014,Solar energy,0.011711074
229,Africa,2010,Nuclear,0.016055708
230,Africa,2010,Solar energy,0.249905689
231,Africa,2010,Multiple renewables,0.017610203
232,Africa,2012,Multiple renewables,0.12642836
233,Africa,2013,Nuclear,0.007587261
234,Africa,2014,Nuclear,0.011318672
235,Africa,2015,Solar energy,0.160741734
236,Africa,2015,Multiple renewables,0.058014337
237,Africa,2016,Solar energy,0.14561943
238,Africa,2010,Nuclear,0.081765606
239,Africa,2015,Nuclear,0.29508258
240,Africa,2015,Nuclear,0.047213213
241,Africa,2019,Nuclear,0.020727
242,Africa,2015,Nuclear,0.289717442
243,Africa,2019,Nuclear,0.003057
244,Africa,2015,Nuclear,0.579434884
245,Africa,2018,Multiple renewables,0.033822162
246,Africa,2009,Wind energy,0.018224948
247,Africa,2009,Solar energy,0.016461134
248,Africa,2009,Solar energy,1.177199894
249,Africa,2001,Solar energy,0.004221008
250,Africa,2002,Solar energy,0.001385094
251,Africa,2002,Solar energy,0.073409989
252,Africa,2002,Solar energy,0.231310721
253,Africa,2014,Natural gas,0.541621336
254,Africa,2017,Natural gas,0.280376013
255,Africa,2008,Nuclear,0.214325936
256,Africa,2008,Nuclear,0.214325936
257,Africa,2011,Multiple renewables,0.001502847
258,Africa,2012,Multiple renewables,0.0009454
259,Africa,2004,Wind energy,0.138381228
260,Africa,2005,Wind energy,0.159924923
261,Africa,2010,Multiple renewables,0.000453019
262,Africa,2012,Multiple renewables,0.028560603
263,Africa,2018,Multiple renewables,0.010967543
264,Africa,2013,Oil,1314.902373
265,Africa,2004,Fossil fuels n.e.s.,0.03824804
266,Africa,2014,Oil,1976.056168
267,Africa,2016,Oil,7250.602922
268,Africa,2018,Fossil fuels n.e.s.,0.006714412
269,Africa,2011,Solar energy,0.025043694
270,Africa,2003,Solar energy,0.01400111
271,Africa,2003,Solar energy,0.032282608
272,Africa,2010,Multiple renewables,0.013506346
273,Africa,2012,Multiple renewables,0.010024486
274,Africa,2015,Multiple renewables,0.014832366
275,Africa,2010,Nuclear,0.292020023
276,Africa,2016,Solar energy,20.84523249
277,Africa,2011,Solar energy,0.198969488
278,Africa,2016,Solar energy,0.153958735
279,Africa,2018,Solar energy,0.107505278
280,Africa,2019,Solar energy,0.055535
281,Africa,2006,Fossil fuels n.e.s.,1.624527386
282,Africa,2010,Renewable hydropower,0.006693981
283,Africa,2016,Bioenergy,18.23957843
284,Africa,2016,Wind energy,18.23957843
285,Africa,2016,Solar energy,18.23957843
286,Africa,2016,Renewable hydropower,18.23957843
287,Africa,2004,Multiple renewables,0.038258248
288,Africa,2007,Renewable hydropower,0.760908365
289,Africa,2012,Multiple renewables,0.00181238
989,Africa,2020,Solar energy,0.017433446
990,Africa,2016,Oil,0.767410657
991,Africa,2016,Solar energy,0.052898877
992,Africa,2015,Renewable hydropower,554.3548301
993,Africa,2000,Natural gas,0.004313593
994,Africa,2009,Bioenergy,2.064737526
995,Africa,2012,Solar energy,0.003554989
996,Africa,2017,Multiple renewables,0.061773696
997,Africa,2018,Multiple renewables,0.027297689
998,Africa,2012,Solar energy,0.011850577
999,Africa,2012,Multiple renewables,0.05868866
1000,Africa,2017,Multiple renewables,0.095247085
1001,Africa,2017,Multiple renewables,0.04901345
1002,Africa,2014,Multiple renewables,0.003437098
1003,Africa,2014,Multiple renewables,0.007350048
1004,Africa,2016,Solar energy,0.117677149
1005,Africa,2016,Solar energy,0.138443767
1006,Africa,2018,Solar energy,0.002576326
1007,Africa,2019,Solar energy,0.00259
1008,Africa,2002,Renewable hydropower,0.092257315
1009,Africa,2019,Bioenergy,0.010062
1010,Africa,2004,Solar energy,0.00168477
1011,Africa,2004,Solar energy,0.00168477
1012,Africa,2018,Multiple renewables,0.099800292
1013,Africa,2019,Oil,33.583343
1014,Africa,2018,Solar energy,0.011869102
1015,Africa,2014,Multiple renewables,9.12539242
1016,Africa,2015,Multiple renewables,4.778132964
1017,Africa,2016,Solar energy,0.010324989
1018,Africa,2010,Nuclear,0.582907007
1019,Africa,2008,Solar energy,0.213184357
1020,Africa,2019,Multiple renewables,0.022389
1021,Africa,2010,Solar energy,0.010328611
1022,Africa,2015,Renewable hydropower,0.111594867
1023,Africa,2015,Solar energy,6.534737856
1024,Africa,2015,Geothermal energy,0.654546813
1025,Africa,2016,Renewable hydropower,0.962561231
1026,Africa,2014,Fossil fuels n.e.s.,2.829938982
1027,Africa,2015,Multiple renewables,5.435500522
1028,Africa,2017,Renewable hydropower,1.157984202
1029,Africa,2017,Solar energy,83.38320083
1030,Africa,2017,Solar energy,37.4984677
1031,Africa,2017,Fossil fuels n.e.s.,12.36895978
1032,Africa,2017,Renewable hydropower,0.937195909
1033,Africa,2018,Solar energy,0.783745716
1034,Africa,2018,Fossil fuels n.e.s.,0.003755872
1035,Africa,2018,Renewable hydropower,0.878762161
1036,Africa,2017,Multiple renewables,20.84580021
1037,Africa,2017,Multiple renewables,21.12471701
1038,Africa,2014,Bioenergy,3.615121625
1039,Africa,2014,Bioenergy,0.093341638
1040,Africa,2014,Bioenergy,0.038998136
1041,Africa,2015,Bioenergy,0.032566145
1042,Africa,2018,Multiple renewables,0.13651848
1043,Africa,2017,Multiple renewables,34.62224512
1044,Africa,2009,Solar energy,0.561370308
1045,Africa,2020,Oil,27.37483357
1046,Africa,2017,Solar energy,57.19834204
1047,Africa,2017,Solar energy,0.831496333
1048,Africa,2011,Solar energy,0.369278094
1049,Africa,2017,Solar energy,0.003472849
1050,Africa,2008,Multiple renewables,0.354551659
1051,Africa,2010,Multiple renewables,0.162313769
1052,Africa,2017,Solar energy,0.01157582
1053,Africa,2006,Fossil fuels n.e.s.,3.842011832
1054,Africa,2006,Multiple renewables,8.537802148
1055,Africa,2009,Bioenergy,6.227288375
1384,Africa,2016,Multiple renewables,0.00699631
1385,Africa,2017,Multiple renewables,0.019269561
1386,Africa,2018,Multiple renewables,0.006197894
1387,Africa,2003,Coal and peat,0.005439361
1388,Africa,2003,Coal and peat,0.7139161
1389,Africa,2005,Coal and peat,0.47258155
1390,Africa,2005,Coal and peat,0.125850522
1391,Africa,2011,Multiple renewables,0.052468112
1392,Africa,2012,Multiple renewables,0.000346776
1393,Africa,2011,Multiple renewables,0.03230765
1394,Africa,2010,Multiple renewables,0.008337513
1395,Africa,2000,Solar energy,0.031765889
1396,Africa,2015,Nuclear,0.027898717
1397,Africa,2010,Nuclear,0.584040045
1398,Africa,2012,Solar energy,0.45957726
1399,Africa,2014,Multiple renewables,2.456751902
