,Unnamed: 0,Country,"GDP per capita, PPP (constant 2017 international $)",Code,Primary energy consumption per capita (kWh/person)
1,2,Afghanistan,2065.036235,AFG,945.6453857
2,4,Angola,6712.021615,AGO,3429.592773
3,5,Albania,13653.20157,ALB,11266.25781
5,9,Argentina,22066.10101,ARG,20785.91406
6,10,Armenia,13653.76338,ARM,15538.20117
8,12,Antigua and Barbuda,21850.13341,ATG,31384.86328
11,15,Azerbaijan,14442.04087,AZE,17979.77148
12,16,Burundi,751.4434047,BDI,318.7487488
14,18,Benin,3287.309538,BEN,2482.886475
15,19,Burkina Faso,2175.50468,BFA,946.6964722
16,20,Bangladesh,5550.032778,BGD,2775.810303
17,21,Bulgaria,23265.87692,BGR,30017.48633
19,24,Bosnia and Herzegovina,14896.79651,BIH,21068.46484
20,25,Belarus,19279.20925,BLR,32671.71484
21,26,Belize,7152.657414,BLZ,9246.844727
23,28,Bolivia,8724.474187,BOL,7940.383301
24,29,Brazil,14736.15606,BRA,16525.10938
25,30,Barbados,15499.80821,BRB,24536.79297
26,32,Bhutan,11864.76625,BTN,29338.07617
27,33,Botswana,16404.44491,BWA,9992.323242
28,34,Central African Republic,946.0596566,CAF,328.4351196
32,40,China,15977.76383,CHN,27883.20898
33,41,Cote d'Ivoire,5212.554021,CIV,2410.60791
34,42,Cameroon,3742.856779,CMR,1814.028931
35,45,Colombia,14571.99095,COL,10647.37402
36,46,Comoros,3058.980105,COM,1567.063477
37,48,Costa Rica,20970.54415,CRI,13158.58984
43,56,Djibouti,5260.015344,DJI,2598.322998
44,57,Dominica,12329.82527,DMA,10994.0791
46,59,Dominican Republic,18412.89999,DOM,11434.63477
47,60,Algeria,11521.98421,DZA,16140.19629
48,66,Ecuador,11370.6033,ECU,12162.4834
52,72,Ethiopia,2221.404665,ETH,943.6289673
54,76,Fiji,13684.29169,FJI,9642.426758
56,80,Gabon,14945.85929,GAB,7848.57666
58,82,Georgia,14989.25816,GEO,18547.29688
59,83,Ghana,5540.045627,GHA,3294.342529
60,85,Guinea,2566.322989,GIN,1211.761719
61,87,Guinea-Bissau,1939.28951,GNB,721.2616577
62,88,Equatorial Guinea,18600.39178,GNQ,16879.89844
64,90,Grenada,16867.57213,GRD,11660.63379
66,92,Guatemala,8653.308195,GTM,5688.776855
68,94,Guyana,13082.18148,GUY,14245.79785
69,97,Honduras,5736.181633,HND,5802.885254
71,100,Haiti,3073.32914,HTI,1163.586426
73,106,Indonesia,11812.10243,IDN,8977.151367
74,109,India,6689.365354,IND,6941.969727
76,113,Iraq,10889.8025,IRQ,15723.45215
80,117,Jamaica,9777.005686,JAM,14562.76367
81,118,Jordan,10071.37989,JOR,11483.71875
84,121,Kenya,4459.210605,KEN,1849.1698
85,123,Cambodia,4388.800909,KHM,3994.236816
86,124,Kiribati,2102.782035,KIR,2738.874268
88,130,Lebanon,14493.37237,LBN,15613.75
89,131,Liberia,1469.763959,LBR,1111.514282
90,132,Libya,21842.61925,LBY,25863.94727
91,138,Sri Lanka,13079.53863,LKA,5072.591309
92,141,Lesotho,2656.115855,LSO,2292.675537
96,148,Morocco,7546.754883,MAR,7223.973145
97,150,Moldova,13026.51597,MDA,10373.6875
98,151,Madagascar,1618.532561,MDG,676.539917
99,152,Maldives,19510.49184,MDV,17493.39063
100,154,Mexico,19675.44067,MEX,16507.16992
101,157,North Macedonia,16773.04057,MKD,14905.75977
102,158,Mali,2321.702199,MLI,1289.118286
104,160,Myanmar,4739.710438,MMR,3129.777344
105,162,Montenegro,21533.93209,MNE,22650.16797
106,163,Mongolia,12486.07746,MNG,24337.97266
108,165,Mozambique,1281.780014,MOZ,2377.498047
109,166,Mauritania,5343.997921,MRT,3976.341797
110,167,Mauritius,22869.75631,MUS,23277.91797
111,168,Malawi,1537.141177,MWI,530.1196899
114,171,Namibia,9809.218482,NAM,8737.738281
116,173,Niger,1224.375135,NER,451.224884
117,174,Nigeria,5135.499469,NGA,2481.222412
118,175,Nicaragua,5445.729533,NIC,4371.559082
121,178,Nepal,3952.760349,NPL,1529.663818
122,179,Nauru,13525.77285,NRU,24818.05273
125,184,Pakistan,5317.774364,PAK,4541.509766
127,186,Peru,12858.3263,PER,10507.8457
128,187,Philippines,8914.723798,PHL,5204.539063
129,189,Papua New Guinea,4292.609429,PNG,3316.351318
133,195,Paraguay,12615.52865,PRY,18397.52148
137,203,Rwanda,2227.515571,RWA,499.5462341
139,206,Sudan,4173.566406,SDN,2359.674072
140,207,Senegal,3368.262274,SEN,2703.498535
142,209,Solomon Islands,2660.514892,SLB,2038.201538
143,210,Sierra Leone,1705.191452,SLE,528.336731
144,211,El Salvador,8776.119516,SLV,7069.96582
145,213,Somalia,1186.450871,SOM,235.5066681
146,214,Serbia,18306.78524,SRB,22784.41602
148,219,Sao Tome and Principe,4005.341623,STP,3411.550781
149,220,Suriname,19036.74504,SUR,24136.25586
152,224,Eswatini,8652.922717,SWZ,5678.396484
155,229,Chad,1579.626101,TCD,461.7154236
156,232,Togo,2121.899918,TGO,1205.38501
157,233,Thailand,18438.64738,THA,21887.79492
158,234,Tajikistan,3581.409187,TJK,8101.675781
160,239,Tonga,6377.35552,TON,6694.15332
162,243,Tunisia,11420.84973,TUN,10435.09375
163,245,Tuvalu,4527.683995,TUV,0.0
164,246,Tanzania,2660.637451,TZA,977.6470337
165,247,Uganda,2182.899761,UGA,862.4026489
166,248,Ukraine,12804.95508,UKR,21768.2168
167,250,Uruguay,23032.73404,URY,19607.18164
169,252,Uzbekistan,7348.146883,UZB,16210.30371
171,257,Vietnam,10134.25903,VNM,12496.14648
172,258,Vanuatu,3116.594618,VUT,3187.939697
173,259,World,16973.69566,OWID_WRL,21154.44727
174,260,Samoa,6627.838501,WSM,7959.014648
175,263,South Africa,13709.96637,ZAF,25440.29297
176,264,Zambia,3470.435511,ZMB,3398.124268
177,265,Zimbabwe,2310.634802,ZWE,3374.877197
