,date,"GDP per capita, PPP (constant 2017 international $)",Region
0,2021,3763.64885709986,Sub-Saharan Africa
1,2020,3704.25844825669,Sub-Saharan Africa
2,2019,3874.45218602127,Sub-Saharan Africa
3,2018,3871.0048312957,Sub-Saharan Africa
4,2017,3862.64211409061,Sub-Saharan Africa
5,2016,3862.739974955,Sub-Saharan Africa
6,2015,3903.56834814614,Sub-Saharan Africa
7,2014,3892.82611001177,Sub-Saharan Africa
8,2013,3812.93027351566,Sub-Saharan Africa
9,2012,3731.56609152913,Sub-Saharan Africa
10,2011,3701.0531380285,Sub-Saharan Africa
11,2010,3642.89286180875,Sub-Saharan Africa
12,2009,3535.55377135762,Sub-Saharan Africa
13,2008,3529.43035546459,Sub-Saharan Africa
14,2007,3444.55792017169,Sub-Saharan Africa
15,2006,3330.75781386005,Sub-Saharan Africa
16,2005,3222.54821228851,Sub-Saharan Africa
17,2004,3119.01804907621,Sub-Saharan Africa
18,2003,3004.33865049196,Sub-Saharan Africa
19,2002,2960.69445714969,Sub-Saharan Africa
20,2001,2865.75690217982,Sub-Saharan Africa
21,2000,2820.81779060784,Sub-Saharan Africa
22,1999,2797.85071981085,Sub-Saharan Africa
23,1998,2806.72238380745,Sub-Saharan Africa
24,1997,2810.48351648523,Sub-Saharan Africa
25,1996,2766.15927348246,Sub-Saharan Africa
26,1995,2700.94178848245,Sub-Saharan Africa
27,1994,2678.37345194255,Sub-Saharan Africa
28,1993,2722.88904916993,Sub-Saharan Africa
29,1992,2817.33767131935,Sub-Saharan Africa
30,1991,2902.5286714809,Sub-Saharan Africa
31,1990,2969.31394142815,Sub-Saharan Africa
50,2021,15701.1522114414,Latin America & Caribbean
51,2020,14823.4725124543,Latin America & Caribbean
52,2019,16033.2228299553,Latin America & Caribbean
53,2018,16057.3522013036,Latin America & Caribbean
54,2017,15928.7925437284,Latin America & Caribbean
55,2016,15771.6434131343,Latin America & Caribbean
56,2015,15916.4664246846,Latin America & Caribbean
57,2014,15964.7758045247,Latin America & Caribbean
58,2013,15885.0445909226,Latin America & Caribbean
59,2012,15600.295247375,Latin America & Caribbean
60,2011,15360.2275822561,Latin America & Caribbean
61,2010,14852.6339432539,Latin America & Caribbean
62,2009,14105.8103460968,Latin America & Caribbean
63,2008,14568.4914653584,Latin America & Caribbean
64,2007,14212.1619340705,Latin America & Caribbean
65,2006,13665.7621797061,Latin America & Caribbean
66,2005,13168.1909737479,Latin America & Caribbean
67,2004,12827.159961808,Latin America & Caribbean
68,2003,12318.5628240782,Latin America & Caribbean
69,2002,12170.9773184639,Latin America & Caribbean
70,2001,12267.7279569953,Latin America & Caribbean
71,2000,12391.2098793923,Latin America & Caribbean
72,1999,12140.8358396651,Latin America & Caribbean
73,1998,12257.7962900368,Latin America & Caribbean
74,1997,12118.0890699592,Latin America & Caribbean
75,1996,11687.2187345156,Latin America & Caribbean
76,1995,11413.0073289089,Latin America & Caribbean
77,1994,11528.0780300654,Latin America & Caribbean
78,1993,11124.0809469582,Latin America & Caribbean
79,1992,10842.1206747993,Latin America & Caribbean
80,1991,10727.7492047931,Latin America & Caribbean
81,1990,10571.3269062632,Latin America & Caribbean
100,2021,6394.55038829376,South Asia
101,2020,5970.76627172341,South Asia
102,2019,6369.64811530602,South Asia
103,2018,6201.3430914839,South Asia
104,2017,5899.62931507242,South Asia
105,2016,5610.41594779384,South Asia
106,2015,5276.01691812379,South Asia
107,2014,4976.38264946804,South Asia
108,2013,4715.46259710215,South Asia
109,2012,4506.19910158364,South Asia
110,2011,4329.76930447026,South Asia
111,2010,4177.82062300787,South Asia
112,2009,3944.56054550336,South Asia
113,2008,3743.60199277827,South Asia
114,2007,3681.30949535696,South Asia
115,2006,3487.67071450968,South Asia
116,2005,3294.21185399416,South Asia
117,2004,3115.06537365529,South Asia
118,2003,2947.72206888681,South Asia
119,2002,2797.76209722865,South Asia
120,2001,2750.04761266035,South Asia
121,2000,2681.43348390186,South Asia
122,1999,2624.45729988665,South Asia
123,1998,2487.25394603607,South Asia
124,1997,2404.65600809903,South Asia
125,1996,2365.26527390497,South Asia
126,1995,2261.54183272006,South Asia
127,1994,2161.29646301824,South Asia
128,1993,2083.75812176389,South Asia
129,1992,2041.23948092164,South Asia
130,1991,1971.9627029389,South Asia
131,1990,1974.74629853809,South Asia
150,2021,16145.693570352,Middle East & North Africa
151,2020,15757.9566826269,Middle East & North Africa
152,2019,16601.5524268098,Middle East & North Africa
153,2018,16660.8870073356,Middle East & North Africa
154,2017,16627.5350944677,Middle East & North Africa
155,2016,16596.1810794907,Middle East & North Africa
156,2015,16193.6476448356,Middle East & North Africa
