Date,Region,Price
01/01/2007,East,2.2969
01/01/2007,East Midlands (England),2.1832
01/01/2007,London,2.3747
01/01/2007,North,2.0743
01/01/2007,North West (England),1.9669
01/01/2007,Northern Ireland,2.3680
01/01/2007,Scotland,2.1867
01/01/2007,South East (England),2.4070
01/01/2007,South West (England),2.2494
01/01/2007,Wales,2.0659
01/01/2007,West Midlands (England),2.1293
01/01/2007,Yorkshire and The Humber,2.1323
01/02/2007,East,2.2950
01/02/2007,East Midlands (England),2.1995
01/02/2007,London,2.3801
01/02/2007,North,2.0790
01/02/2007,North West (England),1.9655
01/02/2007,Northern Ireland,2.3984
01/02/2007,Scotland,2.1995
01/02/2007,South East (England),2.4167
01/02/2007,South West (England),2.2754
01/02/2007,Wales,2.0390
01/02/2007,West Midlands (England),2.1330
01/02/2007,Yorkshire and The Humber,2.1355
01/03/2007,East,2.3242
01/03/2007,East Midlands (England),2.2303
01/03/2007,London,2.4130
01/03/2007,North,2.1005
01/03/2007,North West (England),1.9971
01/03/2007,Northern Ireland,2.4089
01/03/2007,Scotland,2.2087
01/03/2007,South East (England),2.4339
01/03/2007,South West (England),2.3011
01/03/2007,Wales,2.0538
01/03/2007,West Midlands (England),2.1521
01/03/2007,Yorkshire and The Humber,2.1872
01/04/2007,East,2.3496
01/04/2007,East Midlands (England),2.2542
01/04/2007,London,2.4165
01/04/2007,North,2.1355
01/04/2007,North West (England),2.0260
01/04/2007,Northern Ireland,2.4274
01/04/2007,Scotland,2.2214
01/04/2007,South East (England),2.4599
01/04/2007,South West (England),2.3293
01/04/2007,Wales,2.1024
01/04/2007,West Midlands (England),2.1595
01/04/2007,Yorkshire and The Humber,2.1814
01/05/2007,East,2.3546
01/05/2007,East Midlands (England),2.2389
01/05/2007,London,2.4285
01/05/2007,North,2.0520
01/05/2007,North West (England),2.0062
01/05/2007,Northern Ireland,2.4276
01/05/2007,Scotland,2.2394
01/05/2007,South East (England),2.4791
01/05/2007,South West (England),2.3384
01/05/2007,Wales,2.1019
01/05/2007,West Midlands (England),2.1805
01/05/2007,Yorkshire and The Humber,2.1860
01/06/2007,East,2.3592
01/06/2007,East Midlands (England),2.2414
01/06/2007,London,2.4278
01/06/2007,North,2.1070
01/06/2007,North West (England),2.0154
01/06/2007,Northern Ireland,2.4400
01/06/2007,Scotland,2.2492
01/06/2007,South East (England),2.4872
01/06/2007,South West (England),2.3656
01/06/2007,Wales,2.0810
01/06/2007,West Midlands (England),2.1919
01/06/2007,Yorkshire and The Humber,2.1911
01/07/2007,East,2.3796
01/07/2007,East Midlands (England),2.2690
01/07/2007,London,2.4348
01/07/2007,North,2.1154
01/07/2007,North West (England),2.0507
01/07/2007,Northern Ireland,2.4537
01/07/2007,Scotland,2.2532
01/07/2007,South East (England),2.5064
01/07/2007,South West (England),2.3620
01/07/2007,Wales,2.1020
01/07/2007,West Midlands (England),2.2063
01/07/2007,Yorkshire and The Humber,2.2037
01/08/2007,East,2.3532
01/08/2007,East Midlands (England),2.2695
01/08/2007,London,2.4439
01/08/2007,North,2.0987
01/08/2007,North West (England),2.0587
01/08/2007,Northern Ireland,2.4537
01/08/2007,Scotland,2.2332
01/08/2007,South East (England),2.5078
01/08/2007,South West (England),2.3630
01/08/2007,Wales,2.0870
01/08/2007,West Midlands (England),2.2005
01/08/2007,Yorkshire and The Humber,2.2230
01/09/2007,East,2.3565
01/09/2007,East Midlands (England),2.2726
01/09/2007,London,2.4390
01/09/2007,North,2.1009
01/09/2007,North West (England),2.0751
01/09/2007,Northern Ireland,2.4537
01/09/2007,Scotland,2.2422
01/09/2007,South East (England),2.5112
01/09/2007,South West (England),2.3628
01/09/2007,Wales,2.0870
01/09/2007,West Midlands (England),2.2195
01/09/2007,Yorkshire and The Humber,2.2224
01/10/2007,East,2.3857
01/10/2007,East Midlands (England),2.2646
01/10/2007,London,2.4448
01/10/2007,North,2.0987
01/10/2007,North West (England),2.0473
01/10/2007,Northern Ireland,2.4379
01/10/2007,Scotland,2.2436
01/10/2007,South East (England),2.5183
01/10/2007,South West (England),2.3558
01/10/2007,Wales,2.0958
01/10/2007,West Midlands (England),2.2043
01/10/2007,Yorkshire and The Humber,2.2181
01/11/2007,East,2.4054
01/11/2007,East Midlands (England),2.2744
01/11/2007,London,2.4507
01/11/2007,North,2.1030
