date ,Region,price
01/02/1988,East Anglia,0.8936
01/02/1988,East Midlands,0.8426
01/02/1988,London,0.9474
01/02/1988,North,0.8308
01/02/1988,North West,0.7922
01/02/1988,Northern Ireland,0.9782
01/02/1988,Scotland,0.8911
01/02/1988,South East,0.9427
01/02/1988,South West,0.8920
01/02/1988,Wales,0.8097
01/02/1988,West Midlands,0.8100
01/02/1988,Yorkshire & Humber,0.8158
01/03/1988,East Anglia,0.8936
01/03/1988,East Midlands,0.8428
01/03/1988,London,0.9528
01/03/1988,North,0.8293
01/03/1988,North West,0.7968
01/03/1988,Northern Ireland,0.9782
01/03/1988,Scotland,0.8873
01/03/1988,South East,0.9425
01/03/1988,South West,0.8937
01/03/1988,Wales,0.8106
01/03/1988,West Midlands,0.8090
01/03/1988,Yorkshire & Humber,0.8183
01/04/1988,East Anglia,0.9191
01/04/1988,East Midlands,0.8643
01/04/1988,London,0.9828
01/04/1988,North,0.8439
01/04/1988,North West,0.8131
01/04/1988,Northern Ireland,0.9896
01/04/1988,Scotland,0.9039
01/04/1988,South East,0.9754
01/04/1988,South West,0.9000
01/04/1988,Wales,0.8279
01/04/1988,West Midlands,0.8222
01/04/1988,Yorkshire & Humber,0.8343
01/05/1988,East Anglia,0.9216
01/05/1988,East Midlands,0.8683
01/05/1988,London,0.9727
01/05/1988,North,0.8452
01/05/1988,North West,0.8166
01/05/1988,Northern Ireland,0.9935
01/05/1988,Scotland,0.9063
01/05/1988,South East,0.9690
01/05/1988,South West,0.9074
01/05/1988,Wales,0.8265
01/05/1988,West Midlands,0.8245
01/05/1988,Yorkshire & Humber,0.8354
01/06/1988,East Anglia,0.9186
01/06/1988,East Midlands,0.8617
01/06/1988,London,0.9881
01/06/1988,North,0.8518
01/06/1988,North West,0.8164
01/06/1988,Northern Ireland,0.9948
01/06/1988,Scotland,0.9094
01/06/1988,South East,0.9748
01/06/1988,South West,0.9105
01/06/1988,Wales,0.8328
01/06/1988,West Midlands,0.8235
01/06/1988,Yorkshire & Humber,0.8370
01/07/1988,East Anglia,0.9183
01/07/1988,East Midlands,0.8660
01/07/1988,London,0.9958
01/07/1988,North,0.8495
01/07/1988,North West,0.8243
01/07/1988,Northern Ireland,0.9935
01/07/1988,Scotland,0.9170
01/07/1988,South East,0.9747
01/07/1988,South West,0.9105
01/07/1988,Wales,0.8324
01/07/1988,West Midlands,0.8271
01/07/1988,Yorkshire & Humber,0.8413
01/09/1988,East Anglia,0.9352
01/09/1988,East Midlands,0.8814
01/09/1988,London,1.0111
01/09/1988,North,0.8568
01/09/1988,North West,0.8470
01/09/1988,Northern Ireland,0.9957
01/09/1988,Scotland,0.9389
01/09/1988,South East,0.9979
01/09/1988,South West,0.9261
01/09/1988,Wales,0.8352
01/09/1988,West Midlands,0.8466
01/09/1988,Yorkshire & Humber,0.8660
01/10/1988,East Anglia,0.9595
01/10/1988,East Midlands,0.8871
01/10/1988,London,1.0189
01/10/1988,North,0.8755
01/10/1988,North West,0.8471
01/10/1988,Northern Ireland,1.0113
01/10/1988,Scotland,0.9389
01/10/1988,South East,0.9980
01/10/1988,South West,0.9503
01/10/1988,Wales,0.8419
01/10/1988,West Midlands,0.8664
01/10/1988,Yorkshire & Humber,0.8662
01/11/1988,East Anglia,0.9603
01/11/1988,East Midlands,0.9047
01/11/1988,London,1.0264
01/11/1988,North,0.8798
01/11/1988,North West,0.8476
01/11/1988,Northern Ireland,1.0232
01/11/1988,Scotland,0.9412
01/11/1988,South East,1.0130
01/11/1988,South West,0.9603
01/11/1988,Wales,0.8423
01/11/1988,West Midlands,0.8702
01/11/1988,Yorkshire & Humber,0.8721
01/12/1988,East Anglia,0.9608
01/12/1988,East Midlands,0.9128
01/12/1988,London,1.0261
01/12/1988,North,0.8836
01/12/1988,North West,0.8480
01/12/1988,Northern Ireland,1.0300
01/12/1988,Scotland,0.9436
01/12/1988,South East,1.0231
01/12/1988,South West,0.9598
01/12/1988,Wales,0.8442
01/12/1988,West Midlands,0.8707
01/12/1988,Yorkshire & Humber,0.8751
01/01/1989,East Anglia,0.9592
01/01/1989,East Midlands,0.9129
01/01/1989,London,1.0527
01/01/1989,North,0.8877
01/01/1989,North West,0.8530
01/01/1989,Northern Ireland,1.0400
01/01/1989,Scotland,0.9442
01/01/1989,South East,1.0200
01/01/1989,South West,0.9671
01/01/1989,Wales,0.8587
01/01/1989,West Midlands,0.8743
01/01/1989,Yorkshire & Humber,0.8781
01/03/1989,East Anglia,0.9637
01/03/1989,East Midlands,0.9164
01/03/1989,London,1.0622
01/03/1989,North,0.8848
01/03/1989,North West,0.8610
01/03/1989,Northern Ireland,1.0425
01/03/1989,Scotland,0.9496
01/03/1989,South East,1.0225
01/03/1989,South West,0.9778
01/03/1989,Wales,0.8814
01/03/1989,West Midlands,0.8826
01/03/1989,Yorkshire & Humber,0.8815
01/05/1989,East Anglia,0.9641
01/05/1989,East Midlands,0.9270
01/05/1989,London,1.0771
01/05/1989,North,0.8905
01/05/1989,North West,0.8693
01/05/1989,Northern Ireland,1.0454
01/05/1989,Scotland,0.9602
01/05/1989,South East,1.0353
01/05/1989,South West,0.9820
01/05/1989,Wales,0.8841
01/05/1989,West Midlands,0.8894
01/05/1989,Yorkshire & Humber,0.8863
01/06/1989,East Anglia,0.9653
01/06/1989,East Midlands,0.9300
01/06/1989,London,1.0671
