Date,Region,Price
198802,1,0.8567
198802,2,0.9474
198803,1,0.8584
198803,2,0.9528
198804,1,0.8755
198804,2,0.9828
198805,1,0.8778
198805,2,0.9727
198806,1,0.8791
198806,2,0.9881
198807,1,0.8803
198807,2,0.9958
198809,1,0.9026
198809,2,1.0111
198810,1,0.9071
198810,2,1.0189
198811,1,0.9113
198811,2,1.0264
198812,1,0.9179
198812,2,1.0261
198901,1,0.9216
198901,2,1.0527
198903,1,0.9297
198903,2,1.0622
198905,1,0.9370
198905,2,1.0771
198906,1,0.9399
198906,2,1.0671
198907,1,0.9468
198907,2,1.0992
198908,1,0.9568
198908,2,1.1062
198909,1,0.9651
198909,2,1.1119
198910,1,0.9741
198910,2,1.1150
198911,1,0.9779
198911,2,1.1206
198912,1,0.9830
198912,2,1.1258
199001,1,0.9804
199001,2,1.1397
199002,1,0.9882
199002,2,1.1651
199003,1,0.9910
199003,2,1.1671
199004,1,1.0271
199004,2,1.2116
199005,1,1.0408
199005,2,1.2088
199006,1,1.0444
199006,2,1.2137
199007,1,1.0594
199007,2,1.2357
199008,1,1.0743
199008,2,1.2528
199009,1,1.0806
199009,2,1.2679
199010,1,1.0926
199010,2,1.2800
199011,1,1.0944
199011,2,1.2784
199012,1,1.1027
199012,2,1.2976
199101,1,1.1069
199101,2,1.3174
199102,1,1.1132
199102,2,1.3208
199103,1,1.1180
199103,2,1.3151
199104,1,1.1851
199104,2,1.3751
199105,1,1.1890
199105,2,1.3724
199106,1,1.1985
199106,2,1.3884
199107,1,1.2163
199107,2,1.4016
199108,1,1.2264
199108,2,1.4120
199109,1,1.2357
199109,2,1.4327
199110,1,1.2422
199110,2,1.4260
199111,1,1.2466
199111,2,1.4277
199112,1,1.2480
199112,2,1.4286
199201,1,1.2484
199201,2,1.4346
199202,1,1.2547
199202,2,1.4235
199203,1,1.2617
199203,2,1.4322
199204,1,1.2774
199204,2,1.4462
199205,1,1.2820
199205,2,1.4534
199206,1,1.2886
199206,2,1.4740
199207,1,1.2988
199207,2,1.4708
199208,1,1.3048
199208,2,1.4624
199209,1,1.3130
199209,2,1.4743
199210,1,1.3178
199210,2,1.4931
199211,1,1.3197
199211,2,1.4829
199212,1,1.3214
199212,2,1.4826
199301,1,1.3203
199301,2,1.4999
199302,1,1.3196
199302,2,1.4914
199303,1,1.3225
199303,2,1.4859
199304,1,1.3466
199304,2,1.5110
199305,1,1.3503
199305,2,1.5115
199306,1,1.3562
199306,2,1.5151
199307,1,1.3707
199307,2,1.5273
199308,1,1.3767
199308,2,1.5246
199309,1,1.3784
199309,2,1.5246
199310,1,1.3835
199310,2,1.5309
199311,1,1.3830
199311,2,1.5399
199312,1,1.3849
199312,2,1.5363
199401,1,1.3839
199401,2,1.5472
199402,1,1.3868
199402,2,1.5442
199403,1,1.3879
199403,2,1.5343
199404,1,1.3911
199404,2,1.5356
199405,1,1.3909
199405,2,1.5370
199406,1,1.4067
199406,2,1.5485
199407,1,1.4170
199407,2,1.5459
199408,1,1.4258
199408,2,1.5542
199409,1,1.4255
199409,2,1.5496
199410,1,1.4291
199410,2,1.5583
199411,1,1.4312
199411,2,1.5611
199412,1,1.4312
199412,2,1.5657
199501,1,1.4437
199501,2,1.5847
199502,1,1.4564
199502,2,1.5925
199503,1,1.4615
199503,2,1.5886
199504,1,1.4615
199504,2,1.5903
199505,1,1.4654
199505,2,1.6122
199506,1,1.4797
199506,2,1.6176
199507,1,1.4890
199507,2,1.6220
199508,1,1.4922
199508,2,1.6260
199509,1,1.4945
199509,2,1.6349
199510,1,1.4993
199510,2,1.6358
199511,1,1.5001
199511,2,1.6363
199512,1,1.4996
199512,2,1.6408
199601,1,1.5002
199601,2,1.6525
199602,1,1.5181
199602,2,1.6546
199603,1,1.5192
199603,2,1.6580
199604,1,1.5260
199604,2,1.6662
199605,1,1.5285
199605,2,1.6709
