Date,Rate
2015-01-01,0.5
2015-01-02,0.4
2015-01-03,0.3
2015-01-04,0.3
2015-01-05,0.4
2015-01-06,0.3
2015-01-07,0.5
2015-01-08,0.4
2015-01-09,0.2
2015-01-10,0.2
2015-01-11,0.4
2015-01-12,0.5
2016-01-01,0.6
2016-01-02,0.6
2016-01-03,0.8
2016-01-04,0.7
2016-01-05,0.7
2016-01-06,0.8
2016-01-07,0.9
2016-01-08,1
2016-01-09,1.3
2016-01-10,1.3
2016-01-11,1.5
2016-01-12,1.8
2017-01-01,1.9
2017-01-02,2.3
2017-01-03,2.3
2017-01-04,2.6
2017-01-05,2.7
2017-01-06,2.6
2017-01-07,2.6
2017-01-08,2.7
2017-01-09,2.8
2017-01-10,2.8
2017-01-11,2.8
2017-01-12,2.7
2018-01-01,2.7
2018-01-02,2.5
2018-01-03,2.3
2018-01-04,2.2
2018-01-05,2.3
2018-01-06,2.3
2018-01-07,2.3
2018-01-08,2.4
2018-01-09,2.2
2018-01-10,2.2
2018-01-11,2.2
2018-01-12,2
2019-01-01,1.8
2019-01-02,1.8
2019-01-03,1.8
2019-01-04,2
2019-01-05,1.9
2019-01-06,1.9
2019-01-07,2
2019-01-08,1.7
2019-01-09,1.7
2019-01-10,1.5
2019-01-11,1.5
2019-01-12,1.4
2020-01-01,1.8
2020-01-02,1.7
2020-01-03,1.5
2020-01-04,0.9
2020-01-05,0.7
2020-01-06,0.8
2020-01-07,1.1
2020-01-08,0.5
2020-01-09,0.7
2020-01-10,0.9
2020-01-11,0.6
2020-01-12,0.8
2021-01-01,0.9
2021-01-02,0.7
2021-01-03,1
2021-01-04,1.6
2021-01-05,2.1
2021-01-06,2.4
2021-01-07,2.1
2021-01-08,3
2021-01-09,2.9
2021-01-10,3.8
2021-01-11,4.6
2021-01-12,4.8
2022-01-01,4.9
2022-01-02,5.5
2022-01-03,6.2
2022-01-04,7.8
2022-01-05,7.9
2022-01-06,8.2
2022-01-07,8.8
2022-01-08,8.6
2022-01-09,8.8
2022-01-10,9.6
2022-01-11,9.3
